N1,N2,T_split,MigRate,Fst,dxy,segsites1,segsites2,pi1,pi2,tajima1,tajima2
150000,5000,10145,0,0.08914720408039478,0.09745951999999829,0.3784,0.1965,0.09278073469387528,0.07022987755102107,0.3600981063773883,2.2002208374873202
150000,5000,8505,0,0.07315020871796785,0.09759439999999839,0.4065,0.1834,0.09698416326530364,0.07159493877551051,0.25163553959001006,2.7406795007915217
150000,5000,9371,0,0.10390974752026294,0.10887399999999872,0.4044,0.1698,0.10246146938775216,0.07429379591836734,0.4943010301556601,3.513595414334102
150000,5000,9207,0,0.19186069217018809,0.10341527999999839,0.3969,0.1018,0.09923428571428301,0.04100685714285755,0.4394150335808707,2.940589683812585
150000,5000,2560,0,0.0379861224277972,0.10439327999999826,0.437,0.2701,0.1046599999999969,0.08884506122448939,0.266639546804258,1.7340523261664174
150000,5000,11638,0,0.22935823563001134,0.09525487999999913,0.3572,0.0972,0.08926473469387597,0.030159183673469005,0.43737097315891055,1.4249461767317984
150000,5000,7687,0,0.16824198083943953,0.09944055999999846,0.4037,0.1251,0.09667493877550765,0.04492326530612278,0.26622381587583094,2.2259409704679816
150000,5000,8621,0,0.10177286495896287,0.09981071999999927,0.3776,0.1609,0.09615869387754869,0.06658391836734759,0.5154623100187427,3.1244086258264123
150000,5000,9588,0,0.17748649050423415,0.10110887999999943,0.369,0.1091,0.09606718367346709,0.04518865306122492,0.6087989282611822,3.127560939930648
150000,5000,5555,0,0.11306500389093832,0.09719239999999887,0.4112,0.1468,0.09438481632652782,0.060508816326531226,0.10310684431068312,3.096986336758384
150000,5000,9465,0,0.1861222943982318,0.10432127999999893,0.3909,0.1622,0.09607853061224263,0.047085061224490195,0.36988748868439175,1.0990941265821852
150000,5000,8351,0,0.22560912177787662,0.0940210399999989,0.3528,0.06239999999999999,0.09116767346938594,0.027645142857142826,0.5770496897277118,3.5919984407627523
150000,5000,10037,0,0.22400341290156123,0.10071199999999819,0.3967,0.155,0.09786285714285492,0.029836408163265344,0.38473664488573545,-0.5042949720977954
150000,5000,5943,0,0.14917896437342537,0.10505311999999808,0.4374,0.1587,0.10162367346938489,0.0539333061224496,0.14908841799438005,1.9114782855181818
150000,5000,10362,0,0.15305734166191376,0.09653223999999874,0.3883,0.1146,0.0941774693877528,0.047632081632652555,0.3165368593666947,3.151640046805432
150000,5000,10078,0,0.30568622914552956,0.10908463999999801,0.4057,0.1421,0.10473567346938521,0.01127836734693909,0.5729920508447053,-2.358402645911858
150000,5000,9699,0,0.11230343430464762,0.09368559999999902,0.3525,0.1411,0.08796367346938591,0.06157175510204087,0.43147445604402995,3.4931082632383514
150000,5000,10364,0,0.14110431014255376,0.10215423999999913,0.3897,0.1507,0.09787289795918135,0.05590767346938754,0.4578902807184597,2.421787428244677
150000,5000,8018,0,0.14483015126283627,0.10214615999999886,0.381,0.1227,0.09870367346938563,0.05389942857142762,0.587806938114024,3.539572853297004
150000,5000,7510,0,0.14236671997678507,0.10005367999999835,0.4025,0.1038,0.09799893877550807,0.052231918367346225,0.33193869516903224,4.584715915959454
150000,5000,12768,0,0.3778779520151194,0.09833599999999822,0.3567,0.0001,0.08879102040816114,7.836734693877551e-06,0.4213223474411003,-0.8719070794312416
