==================================================================
fastsimcoal started on 26/06/2025 at 14:44:46

TMRCAs per non-recombining segment
Locus	Segment_length	Data_Type	Time_(gen)	deme	Num_Mutations
624	1	data unknown	1501.03	0	0
625	1	data unknown	977.68	0	0
626	1	data unknown	2664.35	0	0
627	1	data unknown	1493.43	0	0
628	1	data unknown	2021.75	0	0
629	1	data unknown	8312.04	0	0
630	1	data unknown	586.079	0	0
631	1	data unknown	692.318	0	0
632	1	data unknown	1639.32	0	0
633	1	data unknown	531.326	0	0
634	1	data unknown	2192.18	0	0
635	1	data unknown	78.0487	0	0
636	1	data unknown	297.966	0	0
637	1	data unknown	1054.84	0	0
638	1	data unknown	1044.01	0	0
639	1	data unknown	1153.13	0	0
640	1	data unknown	3182.05	0	0
641	1	data unknown	1035.84	0	0
642	1	data unknown	16.7847	0	0
643	1	data unknown	123.711	0	0
644	1	data unknown	897.335	0	0
645	1	data unknown	1436.04	0	0
646	1	data unknown	3779.28	0	0
647	1	data unknown	1443.79	0	0
648	1	data unknown	2345.57	0	0
649	1	data unknown	751.629	0	0
650	1	data unknown	974.907	0	0
651	1	data unknown	2440.77	0	0
652	1	data unknown	808.182	0	0
653	1	data unknown	2028.62	0	0
654	1	data unknown	2064.18	0	0
655	1	data unknown	2302.57	0	0
656	1	data unknown	1037.28	0	0
657	1	data unknown	754.063	0	0
658	1	data unknown	1935.65	0	0
659	1	data unknown	1907.43	0	0
660	1	data unknown	232.086	0	0
661	1	data unknown	4648.84	0	0
662	1	data unknown	576.973	0	0
663	1	data unknown	1170.05	0	0
664	1	data unknown	201.149	0	0
665	1	data unknown	1031.52	0	0
666	1	data unknown	341.759	0	0
667	1	data unknown	502.567	0	0
668	1	data unknown	1150.98	0	0
669	1	data unknown	2231.36	0	0
670	1	data unknown	708.569	0	0
671	1	data unknown	1717.34	0	0
672	1	data unknown	1809.68	0	0
673	1	data unknown	734.879	0	0
674	1	data unknown	856.754	0	0
675	1	data unknown	781.754	0	0
676	1	data unknown	1946.84	0	0
677	1	data unknown	1562.88	0	0
678	1	data unknown	1656.8	0	0
679	1	data unknown	926.529	0	0
680	1	data unknown	559.91	0	0
681	1	data unknown	1540.66	0	0
682	1	data unknown	844.379	0	0
683	1	data unknown	729.572	0	0
684	1	data unknown	1449.44	0	0
685	1	data unknown	1386.61	0	0
686	1	data unknown	1431.34	0	0
687	1	data unknown	1496.94	0	0
688	1	data unknown	4597.31	0	0
689	1	data unknown	7468.2	0	0
690	1	data unknown	1493.43	0	0
691	1	data unknown	852.531	0	0
692	1	data unknown	3245.91	0	0
693	1	data unknown	264.511	0	0
694	1	data unknown	565.556	0	0
695	1	data unknown	1068.01	0	0
696	1	data unknown	553.345	0	0
697	1	data unknown	735.062	0	0
698	1	data unknown	618.366	0	0
699	1	data unknown	2869.38	0	0
700	1	data unknown	714.466	0	0
701	1	data unknown	896.626	0	0
702	1	data unknown	1254.41	0	0
703	1	data unknown	907.639	0	0
704	1	data unknown	3067.76	0	0
705	1	data unknown	828.209	0	0
706	1	data unknown	616.436	0	0
707	1	data unknown	836.185	0	0
708	1	data unknown	928.226	0	0
709	1	data unknown	1332.07	0	0
710	1	data unknown	641.998	0	0
711	1	data unknown	929.138	0	0
712	1	data unknown	2502.67	0	0
713	1	data unknown	1826.78	0	0
714	1	data unknown	620.975	0	0
715	1	data unknown	817.497	0	0
716	1	data unknown	507.622	0	0
717	1	data unknown	611.931	0	0
718	1	data unknown	998.562	0	0
719	1	data unknown	1910.39	0	0
720	1	data unknown	846.191	0	0
721	1	data unknown	1417.19	0	0
722	1	data unknown	623.531	0	0
